uid,variant
7132,treatment
1049,treatment
9517,control
13593,treatment
12382,control
4423,treatment
8941,treatment
9835,treatment
11628,treatment
5171,control
14299,control
15442,control
15797,control
14609,treatment
13490,treatment
5197,control
3168,treatment
16049,treatment
16365,control
3980,treatment
392,treatment
8385,treatment
13831,control
8673,control
9389,treatment
10936,treatment
5438,control
295,control
16072,control
15183,treatment
10090,control
11021,control
710,treatment
1888,control
1142,treatment
2354,treatment
5067,control
9134,control
10799,treatment
13046,treatment
322,control
1309,control
7758,treatment
8536,control
8017,treatment
2983,treatment
4357,treatment
7164,treatment
15247,control
8989,treatment
13554,treatment
13782,control
4121,control
6983,treatment
12590,treatment
7011,treatment
15459,control
10298,treatment
1783,control
12888,control
8575,control
9395,treatment
2126,control
9293,treatment
2454,control
11400,control
13215,treatment
12217,control
1079,control
8426,control
6383,treatment
402,treatment
10384,control
7493,treatment
11107,control
13546,treatment
3526,control
12435,treatment
3543,control
4050,treatment
668,control
5278,control
4741,treatment
10539,treatment
12766,control
13862,control
2327,control
9500,treatment
3197,control
6736,treatment
17011,treatment
8206,control
12458,treatment
17206,control
16226,treatment
15781,control
13592,control
16612,control
12489,treatment
12436,treatment
2324,treatment
3255,control
4467,control
14567,control
15412,treatment
13435,control
16270,treatment
15267,treatment
10551,control
12125,treatment
2265,treatment
5460,treatment
16248,treatment
2476,control
2362,control
3843,treatment
11526,control
4908,control
16714,control
4787,control
4889,control
4871,treatment
9555,control
1496,control
6823,treatment
10649,treatment
8309,treatment
7955,treatment
14196,treatment
14899,control
8042,control
5975,control
4723,control
2457,control
6819,treatment
5870,control
6107,treatment
13132,control
8948,treatment
11601,treatment
5616,control
16290,control
15294,control
15867,treatment
15620,control
14835,control
274,control
3421,control
13272,treatment
14739,control
1139,treatment
14451,control
349,control
2874,treatment
10375,control
4432,control
8847,treatment
10999,control
3219,control
5663,control
14490,treatment
16618,treatment
14003,control
15804,control
2160,control
10789,treatment
4486,control
12410,treatment
3161,treatment
3004,treatment
5070,control
65,control
6309,control
2939,control
611,treatment
5851,treatment
13392,treatment
8074,control
10938,treatment
9598,control
350,control
3411,treatment
296,control
2052,treatment
5002,control
9193,control
2009,control
17225,control
5058,control
5484,control
13013,control
445,control
8335,control
2140,treatment
15257,treatment
9844,control
13660,treatment
13214,treatment
4250,treatment
5504,control
2382,control
4753,control
10316,treatment
15534,control
16984,treatment
3074,treatment
14836,control
16948,control
13947,control
7025,treatment
10025,treatment
17076,treatment
9870,treatment
3305,control
3905,treatment
467,treatment
8787,treatment
15582,control
13460,control
3660,control
1678,control
7850,treatment
3742,control
927,control
978,control
8000,control
1350,control
13901,treatment
1601,control
12431,treatment
13763,control
9769,treatment
8943,control
10355,treatment
12074,treatment
9797,treatment
12882,control
9855,treatment
1226,treatment
1219,treatment
3850,treatment
16211,control
2612,treatment
9305,treatment
3066,control
11884,treatment
404,control
9055,treatment
3670,treatment
816,control
2801,treatment
6215,control
3078,control
5286,treatment
16931,control
15531,control
8731,treatment
6862,treatment
7584,control
6395,treatment
10320,control
7740,treatment
8906,control
15823,control
275,control
14304,treatment
11863,treatment
9479,treatment
15771,treatment
3689,treatment
8350,control
12731,control
12717,control
7434,treatment
3308,control
14330,treatment
2690,treatment
3163,control
2470,control
11565,treatment
7370,control
7014,treatment
2554,treatment
1908,control
11126,control
8804,control
11289,treatment
7737,treatment
16467,treatment
4640,control
7915,control
16909,treatment
16635,control
101,control
15491,treatment
11996,treatment
4800,control
11514,treatment
11950,treatment
8302,treatment
4226,control
15783,treatment
11365,treatment
14384,control
14235,control
4872,treatment
14638,control
7774,treatment
770,treatment
6680,treatment
14195,control
4992,treatment
555,control
12247,treatment
11394,control
10579,control
4438,control
6743,treatment
12564,treatment
2073,control
5640,treatment
11150,treatment
7736,treatment
4913,treatment
2098,control
5793,control
4561,control
17142,control
12699,control
12475,treatment
11784,treatment
2533,treatment
1395,control
2653,control
2535,treatment
11285,treatment
14817,control
3643,control
8932,treatment
13254,treatment
730,treatment
15792,control
7612,treatment
13873,control
16343,control
3367,treatment
9596,treatment
5245,treatment
13630,treatment
9391,control
9978,control
2469,control
2802,treatment
12080,treatment
3230,treatment
2392,control
1950,control
10299,treatment
16698,control
7795,treatment
12302,treatment
6403,control
13246,control
14349,control
11256,treatment
16399,control
2503,treatment
4662,control
16083,treatment
6301,control
11169,treatment
1130,treatment
3698,treatment
14786,control
1465,treatment
4894,control
11574,treatment
17180,control
1460,treatment
7808,control
11754,control
16794,control
15195,control
14872,control
5169,treatment
1320,control
14943,treatment
13408,treatment
8191,treatment
230,control
2942,treatment
5078,treatment
4030,treatment
15842,control
10716,control
6062,treatment
8216,control
3235,treatment
10893,treatment
6418,treatment
7047,treatment
12859,treatment
10293,control
9929,control
1115,treatment
4639,treatment
4848,control
62,treatment
408,treatment
6326,treatment
2487,treatment
15829,treatment
16548,treatment
9335,treatment
16015,treatment
8793,treatment
2228,treatment
4914,treatment
4133,control
15030,control
5294,control
4518,treatment
1851,treatment
5151,control
3466,treatment
6729,treatment
2490,treatment
9557,treatment
8111,treatment
5985,control
17110,treatment
13191,control
3683,treatment
15253,treatment
6089,control
13800,control
5143,treatment
10887,treatment
17120,treatment
11390,treatment
2248,treatment
7611,control
3603,control
14465,treatment
14140,treatment
6230,control
5158,control
1560,treatment
2758,control
6059,treatment
12193,treatment
1277,control
2777,control
8378,control
5128,control
13942,control
7479,control
78,treatment
2643,control
9066,treatment
11942,treatment
5029,control
15678,treatment
5679,control
8231,control
15101,control
5210,treatment
14268,treatment
14565,treatment
13710,treatment
13133,treatment
14041,treatment
4959,control
14002,treatment
13839,control
6100,control
2429,treatment
7379,control
11578,treatment
1996,control
10980,treatment
7688,control
10242,control
1162,treatment
12248,treatment
9463,control
16173,control
6125,treatment
3951,treatment
10262,control
1832,control
3979,control
15369,control
2884,control
13864,treatment
11458,treatment
1909,treatment
13981,treatment
9331,control
1644,treatment
13578,control
14893,treatment
12781,treatment
6264,control
6812,treatment
4482,control
5713,control
4090,control
3420,control
6209,treatment
13731,control
3877,treatment
6145,treatment
11768,control
8974,control
8740,treatment
13579,control
14894,treatment
4796,treatment
4816,treatment
12081,treatment
16473,control
16384,control
3897,control
16525,treatment
11849,treatment
16665,treatment
8418,treatment
16249,control
4363,control
12820,treatment
11101,treatment
3293,control
4759,control
7710,control
15453,control
760,control
12712,treatment
10363,treatment
6094,treatment
2846,control
16114,control
12047,treatment
16857,treatment
3509,control
10858,treatment
11525,treatment
15592,treatment
916,treatment
4300,treatment
12523,control
5199,treatment
13237,treatment
15955,control
2017,treatment
4628,control
10118,control
867,control
1213,control
6797,control
14024,control
10988,treatment
3484,control
10746,control
3827,treatment
5646,treatment
11770,treatment
233,treatment
15229,treatment
1073,control
9467,treatment
13754,treatment
12533,treatment
14702,treatment
5536,treatment
